Mixture	Mono	Bcell	CD4	CD8	NK
Y-3674-cfDNA	211.5023749999999	20.03194444444445	33.82815972222222	71.01043452380951	46.17371527777779
Y-3685-cfDNA	264.6978750000001	34.79914583333334	68.99421527777777	128.07728171296299	77.82734027777778
Y-3688-cfDNA	200.12014583333325	54.095625000000005	85.14289166666666	145.34769377104377	85.60103749999998
Y-3694-cfDNA	370.0776874999999	50.579516666666684	113.90310624999998	137.51385287698417	90.7167486111111
Y-3703-cfDNA	163.53638194444449	25.62472500000001	52.547323611111096	107.76135674603178	52.55377916666666
Y-3706-cfDNA	324.22077777777764	47.05620833333333	95.46994722222225	166.16245059523814	62.93181250000002
Y-3707-cfDNA	72.99833333333333	10.627625	19.045990277777776	43.548905555555564	26.943697222222223
Y-3711-cfDNA	1394.1445000000053	279.7661930555556	677.148113194444	1039.8900056878338	446.6998666666674
Y-3715-cfDNA	162.26552777777778	18.91320833333333	37.43794861111111	76.3772139880952	21.16967916666667
Y-3720-cfDNA	1081.0306805555558	247.2409125000002	389.4771256944442	714.6963169252047	307.88806130952423
Y-3735-cfDNA	246.77864583333343	40.14775833333334	57.324206944444484	107.92438227513222	72.81922916666664
Y-3737-cfDNA	1579.7922152777805	161.45761805555549	372.3677583333335	456.44571289682426	210.79119444444453
Y-3814-cfDNA	219.0119583333333	38.070125000000004	48.92073611111111	75.83922624007938	41.481844444444434
Y-3824-cfDNA	1200.5103263888916	205.00980416666658	391.11537638888893	794.8428181036563	403.3224958333336
Y-3879-cfDNA	177.0159583333333	26.998749999999998	34.11636666666666	58.699001355820066	28.51526944444445
Y-3880-cfDNA	111.7214166666667	18.842888888888886	34.31212916666667	58.13251924603175	30.53034722222222
Y-3893-cfDNA	152.84858333333332	40.43823611111111	72.13000416666672	98.88870436658253	38.11880833333332
Y-3918-cfDNA	72.01495833333331	9.223749999999999	26.64470833333333	48.61474027777778	15.906999999999998
Y-3920-cfDNA	62.26770833333332	12.147874999999999	16.53440972222222	23.181330357142848	19.434104166666668
Y-3925-cfDNA	98.96937499999997	15.373313888888886	32.534219444444446	45.55517268518518	21.21401666666666
Y-3938-cfDNA	1066.5820138888898	301.71990972222227	552.8398138888889	1154.749742305495	269.69016626984154
Y-3941-cfDNA	1834.0140694444497	212.87803055555557	512.9482625000007	641.0296453581149	337.7804180555555
tot-66-cfDNA	1120.813166666669	127.32921527777775	261.42946666666666	386.0892942821067	184.8328555555556
tot-67-cfDNA	812.0190138888872	114.42157738095234	288.2345184523809	374.8014256283066	193.15497777777767
tot-72-cfDNA	1103.812902777779	153.3601638888889	396.2593125000001	460.5149746362436	265.22862361111135
tot-PH1-cfDNA	1217.6265	210.50536111111123	425.5199958333339	508.0916194083688	353.8532638888889
tot-PH16-cfDNA	867.5678472222241	186.46224999999993	419.1808131944448	579.4933228745786	413.02779999999996
tot-PH17-cfDNA	1212.9643680555562	200.1608222222224	276.69251527777783	569.0677649470886	315.9226333333335
tot-PH4-cfDNA	1346.2633055555586	191.48008333333317	461.59010347222244	700.40678820647	412.7567986111115
tot-PH7-cfDNA	1196.1433472222232	162.77196626984136	341.84034394841285	501.56154456770076	268.54174444444465
tot-YUCLUE_20-3998-cfDNA	1117.6370138888901	164.43345238095247	322.753786111111	586.9055130094441	274.0778986111113
tot-YUMARS_15-3443-cfDNA	970.6205972222214	152.82798611111107	245.3410791666665	469.18321928811883	283.0579263888892
tot-YUMICRO_20-4006-cfDNA	685.1677152777777	148.55157083333336	484.2846131944446	881.6178776364867	299.9750875000002
tot-YUMOTE_17-3755-cfDNA	826.3834305555549	174.102509920635	316.98913958333344	504.9324778108466	196.93980555555564
tot-YUPRAF_19-3925-cfDNA	1035.52238888889	151.21394583333324	382.48035069444495	493.841062169311	212.9483111111111
tot-YUREIL_17-3713-cfDNA	1295.043402777779	152.19922023809525	277.9113027777778	372.9826215608462	195.98891666666657
tot-YUSTRAW_20-4002-cfDNA	1300.381451388891	153.80295138888886	247.19535694444446	523.1647958543774	304.8281224206351
tot-YUTAUR_19-3926-cfDNA	1232.6338680555577	143.62364265873015	214.49638194444438	429.0277673791488	168.62287222222233
tot-YUTHEA_20-4000-cfDNA	968.3758333333328	217.76511805555555	317.7251590277778	613.5665224537032	255.76400694444453
tot-YUVIRTUE_20-4029-cfDNA	955.1758958333336	150.28335555555557	308.94130833333327	543.3456845147902	282.263102777778
y4-YUEVRY_19_3935-cfDNA	198.24311111111112	38.34082738095239	58.49601805555556	100.15156921296297	60.52948055555555
y4-YUMORF_17_3654-cfDNA	637.1292777777774	133.20479583333335	638.9240944444452	527.1447017857143	187.52455138888877
y4-YUPARK_18_3832-cfDNA	149.85404166666657	17.002583333333334	53.92418611111111	61.61235112433864	52.59883333333334
y4-YUPARK_18_3856-cfDNA	1892.992715277783	216.74348749999984	559.6650583333328	663.6384518789089	348.5095097222227
